film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
14,"ALICE FANTASIA","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,1,NULL,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
27,"ANONYMOUS HUMAN","A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank",2006,1,NULL,7,0.99,179,12.99,NC-17,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
34,"ARABIA DOGMA","A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria",2006,1,NULL,6,0.99,62,29.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
38,"ARK RIDGEMONT","A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert",2006,1,NULL,6,0.99,68,25.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
66,"BENEATH RUSH","A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station",2006,1,NULL,6,0.99,53,27.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
76,"BIRDCAGE CASPER","A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India",2006,1,NULL,4,0.99,103,23.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
87,"BOONDOCK BALLROOM","A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico",2006,1,NULL,7,0.99,76,14.99,NC-17,"Behind the Scenes","2006-02-15 05:03:42"
105,"BULL SHAWSHANK","A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies",2006,1,NULL,6,0.99,125,21.99,NC-17,"Deleted Scenes","2006-02-15 05:03:42"
110,"CABIN FLASH","A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory",2006,1,NULL,4,0.99,53,25.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
111,"CADDYSHACK JEDI","A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia",2006,1,NULL,3,0.99,52,17.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
114,"CAMELOT VACATION","A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention",2006,1,NULL,3,0.99,61,26.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
