film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,1,NULL,3,4.99,48,12.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
59,"BEAR GRACELAND","A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station",2006,1,NULL,4,2.99,160,20.99,R,"Deleted Scenes","2006-02-15 05:03:42"
232,"DIRTY ACE","A Action-Packed Character Study of a Forensic Psychologist And a Girl who must Build a Dentist in The Outback",2006,1,NULL,7,2.99,147,29.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
234,"DISTURBING SCARFACE","A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat",2006,1,NULL,6,2.99,94,27.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
259,"DUCK RACER","A Lacklusture Yarn of a Teacher And a Squirrel who must Overcome a Dog in A Shark Tank",2006,1,NULL,4,2.99,116,15.99,NC-17,"Behind the Scenes","2006-02-15 05:03:42"
372,"GRACELAND DYNAMITE","A Taut Display of a Cat And a Girl who must Overcome a Database Administrator in New Orleans",2006,1,NULL,5,4.99,140,26.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
578,"MILLION ACE","A Brilliant Documentary of a Womanizer And a Squirrel who must Find a Technical Writer in The Sahara Desert",2006,1,NULL,4,4.99,142,16.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
618,"NECKLACE OUTBREAK","A Astounding Epistle of a Database Administrator And a Mad Scientist who must Pursue a Cat in California",2006,1,NULL,3,0.99,132,21.99,PG,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
639,"OPPOSITE NECKLACE","A Fateful Epistle of a Crocodile And a Moose who must Kill a Explorer in Nigeria",2006,1,NULL,7,4.99,92,9.99,PG,"Deleted Scenes","2006-02-15 05:03:42"
656,"PAPI NECKLACE","A Fanciful Display of a Car And a Monkey who must Escape a Squirrel in Ancient Japan",2006,1,NULL,3,0.99,128,9.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
709,"RACER EGG","A Emotional Display of a Monkey And a Waitress who must Reach a Secret Agent in California",2006,1,NULL,7,2.99,147,19.99,NC-17,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
768,"SCARFACE BANG","A Emotional Yarn of a Teacher And a Girl who must Find a Teacher in A Baloon Factory",2006,1,NULL,3,4.99,102,11.99,PG-13,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
857,"STRICTLY SCARFACE","A Touching Reflection of a Crocodile And a Dog who must Chase a Hunter in An Abandoned Fun House",2006,1,NULL,3,2.99,144,24.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
862,"SUMMER SCARFACE","A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank",2006,1,NULL,5,0.99,53,25.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
866,"SUNSET RACER","A Awe-Inspiring Reflection of a Astronaut And a A Shark who must Defeat a Forensic Psychologist in California",2006,1,NULL,6,0.99,48,28.99,NC-17,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
